"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"50947-14339","RB","Dion","Dion Lewis","Lewis","3.8200000762939452","5","4800","WAS@NYG","NYG","WAS","","","","",""
"50947-86192","WR","KJ","KJ Hamler","Hamler","5.75","2","4800","DEN@NE","DEN","NE","O","Hamstring","","",""
"50947-12541","D","New England","New England Patriots","Patriots","9","4","4800","DEN@NE","NE","DEN","","","","",""
"50947-29949","WR","Marvin","Marvin Hall","Hall","4","3","4800","DET@JAC","DET","JAC","","","","",""
"50947-56580","WR","Christian","Christian Blake","Blake","3.0999999046325684","2","4800","ATL@MIN","ATL","MIN","","","","",""
"50947-71032","WR","Devin","Devin Duvernay","Duvernay","3.9200000762939453","5","4800","BAL@PHI","BAL","PHI","","","","",""
"50947-64907","WR","JJ","JJ Arcega-Whiteside","Arcega-Whiteside","2.0999999046325684","2","4800","BAL@PHI","PHI","BAL","","","","",""
"50947-44449","WR","Willie","Willie Snead IV","Snead IV","4.540000152587891","5","4800","BAL@PHI","BAL","PHI","","","","",""
"50947-55748","WR","James","James Washington","Washington","6.050000190734863","4","4800","CLE@PIT","PIT","CLE","","","","",""
"50947-21980","WR","Alshon","Alshon Jeffery","Jeffery","11.188888549804688","9","4800","BAL@PHI","PHI","BAL","O","Foot","","",""
"50947-41475","WR","John","John Ross III","Ross III","1.350000023841858","2","4800","CIN@IND","CIN","IND","","","","",""
"50947-26355","TE","Logan","Logan Thomas","Thomas","4.720000076293945","5","4800","WAS@NYG","WAS","NYG","","","","",""
"50947-27457","WR","Kenny","Kenny Stills","Stills","4.079999923706055","5","4800","HOU@TEN","HOU","TEN","","","","",""
"50947-39818","RB","Wayne","Wayne Gallman Jr.","Gallman Jr.","3.049999952316284","4","4800","WAS@NYG","NYG","WAS","","","","",""
"50947-30733","WR","Cordarrelle","Cordarrelle Patterson","Patterson","3.2400001525878905","5","4700","CHI@CAR","CHI","CAR","","","","",""
"50947-24671","WR","Adam","Adam Humphries","Humphries","9.033333460489908","3","4700","HOU@TEN","TEN","HOU","","","","",""
"50947-69836","WR","Collin","Collin Johnson","Johnson","3.299999952316284","4","4700","DET@JAC","JAC","DET","","","","",""
"50947-88277","RB","Anthony","Anthony McFarland Jr.","McFarland Jr.","3","2","4700","CLE@PIT","PIT","CLE","","","","",""
"50947-71957","WR","Quintez","Quintez Cephus","Cephus","6.349999904632568","2","4700","DET@JAC","DET","JAC","","","","",""
"50947-56711","TE","Drew","Drew Sample","Sample","3.8400001525878906","5","4700","CIN@IND","CIN","IND","","","","",""
"50947-55694","WR","Mike","Mike Thomas","Thomas","3.1799999237060548","5","4700","CIN@IND","CIN","IND","","","","",""
"50947-60861","WR","Damion","Damion Ratley","Ratley","1.6600000381469726","5","4700","WAS@NYG","NYG","WAS","","","","",""
"50947-52808","RB","Dontrell","Dontrell Hilliard","Hilliard","2.5999999046325684","1","4700","CLE@PIT","CLE","PIT","","","","",""
"50947-30297","TE","Trey","Trey Burton","Burton","4.199999809265137","2","4700","CIN@IND","IND","CIN","","","","",""
"50947-72370","RB","J.J.","J.J. Taylor","Taylor","2.633333365122477","3","4700","DEN@NE","NE","DEN","","","","",""
"50947-41741","WR","DaeSean","DaeSean Hamilton","Hamilton","1.566666603088379","3","4700","DEN@NE","DEN","NE","","","","",""
"50947-64339","WR","Auden","Auden Tate","Tate","2.5333333015441895","3","4700","CIN@IND","CIN","IND","D","Shoulder","","",""
"50947-55224","RB","Reggie","Reggie Bonnafon","Bonnafon","7.849999904632568","2","4700","CHI@CAR","CAR","CHI","","","","",""
"50947-28694","TE","Jesse","Jesse James","James","6.949999809265137","2","4600","DET@JAC","DET","JAC","","","","",""
"50947-94262","WR","Antonio","Antonio Gandy-Golden","Gandy-Golden","1.5","2","4600","WAS@NYG","WAS","NYG","","","","",""
"50947-52345","WR","Brandon","Brandon Powell","Powell","0.8399999618530274","5","4600","ATL@MIN","ATL","MIN","","","","",""
"50947-65706","WR","Deontay","Deontay Burnett","Burnett","3.4000000953674316","1","4600","BAL@PHI","PHI","BAL","","","","",""
